model,seed,corruption,severity,wer,cer,n_utts,wer_delta_vs_clean,cer_delta_vs_clean
meralion-2-10b,13,none,0.0,0.26103804603100045,0.22059800664451829,682,0.0,0.0
meralion-2-10b,13,noise_snr_db,30.0,0.26244715829027715,0.22587075340263638,682,0.0014091122592767014,0.005272746758118091
meralion-2-10b,13,noise_snr_db,20.0,0.2724283701268201,0.2385167720501554,682,0.011390324095819637,0.01791876540563711
meralion-2-10b,13,noise_snr_db,10.0,0.3232738374823861,0.272768192048012,682,0.062235791451385636,0.05217018540349372
meralion-2-10b,13,speed,0.9,0.25340535462658526,0.20308648590719108,682,-0.007632691404415193,-0.017511520737327202
meralion-2-10b,13,speed,0.8,0.2537576326914044,0.20458686100096451,682,-0.007280413339596059,-0.01601114564355377
meralion-2-10b,13,speed,1.1,0.2716063879755754,0.2411317114993034,682,0.010568341944574955,0.020533704854785118
meralion-2-10b,13,pitch_semitones,-2.0,0.25140911225927665,0.2002143392991105,682,-0.009628933771723802,-0.02038366734540778
meralion-2-10b,13,pitch_semitones,2.0,0.25140911225927665,0.19886400171471438,682,-0.009628933771723802,-0.021734004929803902
meralion-2-10b,13,pitch_semitones,4.0,0.25340535462658526,0.20272210909870325,682,-0.007632691404415193,-0.017875897545815034
meralion-2-10b,13,reverb_decay,0.2,0.2564584311883513,0.20904511842246276,682,-0.004579614842649127,-0.011552888222055524
meralion-2-10b,13,reverb_decay,0.5,0.25716298731798964,0.20533704854785126,682,-0.003875058713010804,-0.015260958096667027
meralion-2-10b,13,reverb_decay,0.8,0.2731329262564584,0.22885006966027222,682,0.01209488022545796,0.00825206301575393
meralion-2-10b,13,clipping_ratio,0.98,0.26103804603100045,0.22059800664451829,682,0.0,0.0
meralion-2-10b,13,clipping_ratio,0.9,0.26103804603100045,0.22059800664451829,682,0.0,0.0
meralion-2-10b,13,clipping_ratio,0.8,0.26103804603100045,0.22059800664451829,682,0.0,0.0
meralion-2-10b,17,none,0.0,0.26103804603100045,0.22059800664451829,682,0.0,0.0
meralion-2-10b,17,noise_snr_db,30.0,0.26174260216063877,0.2214767977708713,682,0.0007045561296383229,0.0008787911263530013
meralion-2-10b,17,noise_snr_db,20.0,0.271488961953969,0.2334154967313257,682,0.01045091592296854,0.01281749008680741
meralion-2-10b,17,noise_snr_db,10.0,0.31963363081258805,0.26983174365019824,682,0.058595584781587606,0.049233737005679956
meralion-2-10b,17,speed,0.9,0.25340535462658526,0.20308648590719108,682,-0.007632691404415193,-0.017511520737327202
meralion-2-10b,17,speed,0.8,0.2537576326914044,0.20458686100096451,682,-0.007280413339596059,-0.01601114564355377
meralion-2-10b,17,speed,1.1,0.2716063879755754,0.2411317114993034,682,0.010568341944574955,0.020533704854785118
meralion-2-10b,17,pitch_semitones,-2.0,0.25140911225927665,0.2002143392991105,682,-0.009628933771723802,-0.02038366734540778
meralion-2-10b,17,pitch_semitones,2.0,0.25140911225927665,0.19886400171471438,682,-0.009628933771723802,-0.021734004929803902
meralion-2-10b,17,pitch_semitones,4.0,0.25340535462658526,0.20272210909870325,682,-0.007632691404415193,-0.017875897545815034
meralion-2-10b,17,reverb_decay,0.2,0.2564584311883513,0.20904511842246276,682,-0.004579614842649127,-0.011552888222055524
meralion-2-10b,17,reverb_decay,0.5,0.25716298731798964,0.20533704854785126,682,-0.003875058713010804,-0.015260958096667027
meralion-2-10b,17,reverb_decay,0.8,0.2731329262564584,0.22885006966027222,682,0.01209488022545796,0.00825206301575393
meralion-2-10b,17,clipping_ratio,0.98,0.26103804603100045,0.22059800664451829,682,0.0,0.0
meralion-2-10b,17,clipping_ratio,0.9,0.26103804603100045,0.22059800664451829,682,0.0,0.0
meralion-2-10b,17,clipping_ratio,0.8,0.26103804603100045,0.22059800664451829,682,0.0,0.0
meralion-2-10b,23,none,0.0,0.26103804603100045,0.22059800664451829,682,0.0,0.0
meralion-2-10b,23,noise_snr_db,30.0,0.26174260216063877,0.2227413996356232,682,0.0007045561296383229,0.0021433929911049143
meralion-2-10b,23,noise_snr_db,20.0,0.27101925786754344,0.23399421283892402,682,0.009981211836542991,0.013396206194405735
meralion-2-10b,23,noise_snr_db,10.0,0.325974635979333,0.2791340692315936,682,0.06493658994833257,0.05853606258707533
meralion-2-10b,23,speed,0.9,0.25340535462658526,0.20308648590719108,682,-0.007632691404415193,-0.017511520737327202
meralion-2-10b,23,speed,0.8,0.2537576326914044,0.20458686100096451,682,-0.007280413339596059,-0.01601114564355377
meralion-2-10b,23,speed,1.1,0.2716063879755754,0.2411317114993034,682,0.010568341944574955,0.020533704854785118
meralion-2-10b,23,pitch_semitones,-2.0,0.25140911225927665,0.2002143392991105,682,-0.009628933771723802,-0.02038366734540778
meralion-2-10b,23,pitch_semitones,2.0,0.25140911225927665,0.19886400171471438,682,-0.009628933771723802,-0.021734004929803902
meralion-2-10b,23,pitch_semitones,4.0,0.25340535462658526,0.20272210909870325,682,-0.007632691404415193,-0.017875897545815034
meralion-2-10b,23,reverb_decay,0.2,0.2564584311883513,0.20904511842246276,682,-0.004579614842649127,-0.011552888222055524
meralion-2-10b,23,reverb_decay,0.5,0.25716298731798964,0.20533704854785126,682,-0.003875058713010804,-0.015260958096667027
meralion-2-10b,23,reverb_decay,0.8,0.2731329262564584,0.22885006966027222,682,0.01209488022545796,0.00825206301575393
meralion-2-10b,23,clipping_ratio,0.98,0.26103804603100045,0.22059800664451829,682,0.0,0.0
meralion-2-10b,23,clipping_ratio,0.9,0.26103804603100045,0.22059800664451829,682,0.0,0.0
meralion-2-10b,23,clipping_ratio,0.8,0.26103804603100045,0.22059800664451829,682,0.0,0.0
